6 seconds

loop 12
         1532162 function calls (1526568 primitive calls) in 16.731 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3585    0.002    0.000    0.002    0.000 {method 'count' of 'bytes' objects}
     4780    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     3585    0.001    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
   210039    0.022    0.000    0.022    0.000 {method 'decode' of 'bytes' objects}
      139    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    34112    0.008    0.000    0.008    0.000 {method 'encode' of 'str' objects}
     2390    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     3585    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2390    0.001    0.000    0.001    0.000 {method 'extend' of 'collections.deque' objects}
     1240    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     5560    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
     1689    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     8184    0.006    0.000    0.006    0.000 {method 'fullmatch' of 're.Pattern' objects}
     7905    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1381    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     4780    0.002    0.000    0.002    0.000 {method 'groups' of 're.Match' objects}
      645    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
      195    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
     1144    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     3785    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    10574    0.002    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
    11951    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     1195    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    72077    0.010    0.000    0.010    0.000 {method 'lower' of 'str' objects}
     3585    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
    15552    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
     4780    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
     1196    0.042    0.000    0.042    0.000 {method 'poll' of 'select.poll' objects}
     1195    0.003    0.000    0.003    0.000 {method 'pop' of 'collections.OrderedDict' objects}
     1195    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
     4783    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1195    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1195    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
     4780    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
     1195    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     2390    0.001    0.000    0.001    0.000 {method 'read' of '_io.StringIO' objects}
     5975    0.007    0.000    8.332    0.001 {method 'readline' of '_io.BufferedReader' objects}
     2390    0.005    0.000    0.005    0.000 {method 'readlines' of '_io._IOBase' objects}
     1195    8.319    0.007    8.319    0.007 {method 'recv_into' of '_socket.socket' objects}
     1195    0.002    0.000    0.002    0.000 {method 'register' of 'select.poll' objects}
     1195    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     4780    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    14193    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
     4780    0.001    0.000    0.001    0.000 {method 'seek' of '_io.StringIO' objects}
     2209    0.027    0.000    0.027    0.000 {method 'sendall' of '_socket.socket' objects}
     3585    0.002    0.000    0.002    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
     1195    0.004    0.000    0.004    0.000 {method 'settimeout' of '_socket.socket' objects}
    14340    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
    16735    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
    13145    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     1195    0.004    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
     3585    0.004    0.000    0.004    0.000 {method 'subn' of 're.Pattern' objects}
     2390    0.001    0.000    0.001    0.000 {method 'truncate' of '_io.StringIO' objects}
     4599    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     2571    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     1195    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}


Traceback (most recent call last):
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 340, in <module>
    solve_forever()
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 329, in solve_forever
    cProfile.run("solve()")
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cProfile.py", line 16, in run
    return _pyprofile._Utils(Profile).run(statement, filename, sort)
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/profile.py", line 53, in run
    prof.run(statement)
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cProfile.py", line 95, in run
    return self.runctx(cmd, dict, dict)
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cProfile.py", line 100, in runctx
    exec(cmd, globals, locals)
  File "<string>", line 1, in <module>
